"MS.Zoning","Lot.Area","Alley","Lot.Shape","Land.Contour","Lot.Config","Land.Slope","Neighborhood","Condition.1","Bldg.Type","House.Style","Overall.Qual","Overall.Cond","Year.Built","Year.Remod.Add","Roof.Style","Exterior.1st","Mas.Vnr.Type","Mas.Vnr.Area","Exter.Qual","Exter.Cond","Foundation","Bsmt.Qual","Total.Bsmt.SF","Heating.QC","Central.Air","Electrical","Gr.Liv.Area","Bsmt.Full.Bath","Bsmt.Half.Bath","Full.Bath","Half.Bath","Bedroom.AbvGr","Kitchen.AbvGr","Kitchen.Qual","TotRms.AbvGrd","Functional","Fireplaces","Fireplace.Qu","Garage.Type","Garage.Cars","Garage.Area","Paved.Drive","Wood.Deck.SF","Open.Porch.SF","Enclosed.Porch","X3Ssn.Porch","Screen.Porch","Pool.Area","Fence","Misc.Val","Mo.Sold","Yr.Sold","Sale.Type","Sale.Condition","SalePrice"
"RL",31770,"NP","Irreg","Lvl","Corner","Gtl","NAmes","Norm","1Fam","1Story",6,5,1960,1960,"Hip","Brick","Stone",112,"TA","TA","CBlock","TA",1080,"Ta","Y","SBrkr",1656,1,0,1,0,3,1,"TA",7,"Typ",2,"Gd","Attchd",2,528,"Y",210,62,0,0,0,0,"NP",0,5,2010,"WD ","Normal",215000
"RM",11622,"NP","Reg","Lvl","Inside","Gtl","NAmes","Street","1Fam","1Story",5,6,1961,1961,"Gable","VinylSd","None",0,"TA","TA","CBlock","TA",882,"TA","Y","SBrkr",896,0,0,1,0,2,1,"TA",5,"Typ",0,"NP","Attchd",1,730,"Y",140,0,0,0,120,0,"MnPrv",0,6,2010,"WD ","Normal",105000
"RL",14267,"NP","Irreg","Lvl","Corner","Gtl","NAmes","Norm","1Fam","1Story",6,6,1958,1958,"Hip","Wood","Brick",108,"TA","TA","CBlock","TA",1329,"TA","Y","SBrkr",1329,0,0,1,1,3,1,"Gd",6,"Typ",0,"NP","Attchd",1,312,"Y",393,36,0,0,0,0,"NP",12500,6,2010,"WD ","Normal",172000
"RL",11160,"NP","Reg","Lvl","Corner","Gtl","NAmes","Norm","1Fam","1Story",7,5,1968,1968,"Hip","Brick","None",0,"Gd","TA","CBlock","TA",2110,"Ex","Y","SBrkr",2110,1,0,2,1,3,1,"Ex",8,"Typ",2,"TA","Attchd",2,522,"Y",0,0,0,0,0,0,"NP",0,4,2010,"WD ","Normal",244000
"RL",13830,"NP","Irreg","Lvl","Inside","Gtl","Gilbert","Norm","1Fam","2Story",5,5,1997,1998,"Gable","VinylSd","None",0,"TA","TA","PConc","Gd",928,"Gd","Y","SBrkr",1629,0,0,2,1,3,1,"TA",6,"Typ",1,"TA","Attchd",2,482,"Y",212,34,0,0,0,0,"MnPrv",0,3,2010,"WD ","Normal",189900
"RL",9978,"NP","Irreg","Lvl","Inside","Gtl","Gilbert","Norm","1Fam","2Story",6,6,1998,1998,"Gable","VinylSd","Brick",20,"TA","TA","PConc","TA",926,"Ex","Y","SBrkr",1604,0,0,2,1,3,1,"Gd",7,"Typ",1,"Gd","Attchd",2,470,"Y",360,36,0,0,0,0,"NP",0,6,2010,"WD ","Normal",195500
"RL",4920,"NP","Reg","Lvl","Inside","Gtl","Other","Norm","townhouse","1Story",8,5,2001,2001,"Gable","CemntBd","None",0,"Gd","TA","PConc","Gd",1338,"Ex","Y","SBrkr",1338,1,0,2,0,2,1,"Gd",6,"Typ",0,"NP","Attchd",2,582,"Y",0,0,170,0,0,0,"NP",0,4,2010,"WD ","Normal",213500
"RL",5005,"NP","Irreg","NonLvl","Inside","Gtl","Other","Norm","townhouse","1Story",8,5,1992,1992,"Gable","HdBoard","None",0,"Gd","TA","PConc","Gd",1280,"Ex","Y","SBrkr",1280,0,0,2,0,2,1,"Gd",5,"Typ",0,"NP","Attchd",2,506,"Y",0,82,0,0,144,0,"NP",0,1,2010,"WD ","Normal",191500
"RL",5389,"NP","Irreg","Lvl","Inside","Gtl","Other","Norm","townhouse","1Story",8,5,1995,1996,"Gable","CemntBd","None",0,"Gd","TA","PConc","Gd",1595,"Ex","Y","SBrkr",1616,1,0,2,0,2,1,"Gd",5,"Typ",1,"TA","Attchd",2,608,"Y",237,152,0,0,0,0,"NP",0,3,2010,"WD ","Normal",236500
"RL",7500,"NP","Reg","Lvl","Inside","Gtl","Gilbert","Norm","1Fam","2Story",7,5,1999,1999,"Gable","VinylSd","None",0,"TA","TA","PConc","TA",994,"Gd","Y","SBrkr",1804,0,0,2,1,3,1,"Gd",7,"Typ",1,"TA","Attchd",2,442,"Y",140,60,0,0,0,0,"NP",0,6,2010,"WD ","Normal",189000
"RL",10000,"NP","Irreg","Lvl","Corner","Gtl","Gilbert","Norm","1Fam","2Story",6,5,1993,1994,"Gable","HdBoard","None",0,"TA","TA","PConc","Gd",763,"Gd","Y","SBrkr",1655,0,0,2,1,3,1,"TA",7,"Typ",1,"TA","Attchd",2,440,"Y",157,84,0,0,0,0,"NP",0,4,2010,"WD ","Normal",175900
"RL",7980,"NP","Irreg","Lvl","Inside","Gtl","Gilbert","Norm","1Fam","1Story",6,7,1992,2007,"Gable","HdBoard","None",0,"TA","Gd","PConc","Gd",1168,"Ex","Y","SBrkr",1187,1,0,2,0,3,1,"TA",6,"Typ",0,"NP","Attchd",2,420,"Y",483,21,0,0,0,0,"GdPrv",500,3,2010,"WD ","Normal",185000
"RL",8402,"NP","Irreg","Lvl","Inside","Gtl","Gilbert","Norm","1Fam","2Story",6,5,1998,1998,"Gable","VinylSd","None",0,"TA","TA","PConc","Gd",789,"Gd","Y","SBrkr",1465,0,0,2,1,3,1,"TA",7,"Typ",1,"Gd","Attchd",2,393,"Y",0,75,0,0,0,0,"NP",0,5,2010,"WD ","Normal",180400
"RL",10176,"NP","Reg","Lvl","Inside","Gtl","Gilbert","Norm","1Fam","1Story",7,5,1990,1990,"Gable","HdBoard","None",0,"TA","TA","PConc","Gd",1300,"Gd","Y","SBrkr",1341,1,0,1,1,2,1,"Gd",5,"Typ",1,"Po","Attchd",2,506,"Y",192,0,0,0,0,0,"NP",0,2,2010,"WD ","Normal",171500
"RL",6820,"NP","Irreg","Lvl","Corner","Gtl","Other","Norm","townhouse","1Story",8,5,1985,1985,"Gable","HdBoard","None",0,"Gd","TA","PConc","Gd",1488,"TA","Y","SBrkr",1502,1,0,1,1,1,1,"Gd",4,"Typ",0,"NP","Attchd",2,528,"Y",0,54,0,0,140,0,"NP",0,6,2010,"WD ","Normal",212000
"RL",53504,"NP","Irreg","NonLvl","CulDSac","Sloped","Other","Norm","1Fam","2Story",8,5,2003,2003,"Hip","CemntBd","Brick",603,"Ex","TA","PConc","Gd",1650,"Ex","Y","SBrkr",3279,1,0,3,1,4,1,"Ex",12,"ATyp",1,"Gd","BuiltIn",3,841,"Y",503,36,0,0,210,0,"NP",0,6,2010,"WD ","Normal",538000
"RL",11394,"NP","Reg","Lvl","Corner","Gtl","Other","Norm","1Fam","1Story",9,2,2010,2010,"Hip","VinylSd","Stone",350,"Gd","TA","PConc","Ex",1856,"Ex","Y","SBrkr",1856,1,0,1,1,1,1,"Ex",8,"Typ",1,"Gd","Attchd",3,834,"Y",113,0,0,0,0,0,"NP",0,6,2010,"New","Partial",394432
"RL",19138,"NP","Reg","Lvl","Corner","Gtl","Gilbert","Norm","1Fam","1Story",4,5,1951,1951,"Gable","VinylSd","None",0,"TA","TA","CBlock","TA",864,"Ex","Y","SBrkr",864,0,0,1,0,2,1,"TA",4,"Typ",0,"NP","Detchd",2,400,"Y",0,0,0,0,0,0,"NP",0,6,2010,"WD ","Normal",141000
"RL",13175,"NP","Reg","Lvl","Inside","Gtl","NWAmes","Norm","1Fam","1Story",6,6,1978,1988,"Gable","Plywood","Stone",119,"TA","TA","CBlock","Gd",1542,"TA","Y","SBrkr",2073,1,0,2,0,3,1,"TA",7,"ATyp",2,"TA","Attchd",2,500,"Y",349,0,0,0,0,0,"MnPrv",0,2,2010,"WD ","Normal",210000
"RL",11751,"NP","Irreg","Lvl","Inside","Gtl","NWAmes","Norm","1Fam","1Story",6,6,1977,1977,"Hip","Plywood","Brick",480,"TA","TA","CBlock","Gd",1844,"Ex","Y","SBrkr",1844,0,0,2,0,3,1,"TA",7,"Typ",1,"TA","Attchd",2,546,"Y",0,122,0,0,0,0,"MnPrv",0,1,2010,"Oth","Normal",190000
"RL",10625,"NP","Reg","Lvl","Inside","Gtl","NWAmes","Norm","1Fam","SFoyer",7,6,1974,1974,"Gable","Plywood","Brick",81,"TA","TA","CBlock","Gd",1053,"TA","Y","SBrkr",1173,1,0,2,0,3,1,"Gd",6,"Typ",2,"TA","Attchd",2,528,"Y",0,120,0,0,0,0,"MnPrv",0,1,2010,"WD ","Family",170000
"FV",7500,"NP","Reg","Lvl","Inside","Gtl","Somerst","Norm","1Fam","2Story",7,5,2000,2000,"Gable","VinylSd","None",0,"Gd","TA","PConc","Gd",814,"Ex","Y","SBrkr",1674,1,0,2,1,3,1,"Gd",7,"Typ",0,"NP","Attchd",2,663,"Y",0,96,0,0,0,0,"NP",0,1,2010,"WD ","Normal",216000
